group,setting,model,variant,question_id,category,abstained,faithfulness,relevance,citation_accuracy,tool_correctness,abstain_accuracy,overall,input_tokens,output_tokens,cost_tokens,cost_units,latency_s,tools
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q01,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,15,53,68,68.0,28.65,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q02,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,7,44,51,51.0,0.861,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q03,answerable,False,0.0,0.3333,0.0,1.0,1.0,0.4667,8,19,27,27.0,0.428,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q04,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,75,83,83.0,1.438,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q05,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,59,67,67.0,1.253,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q06,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,7,59,66,66.0,1.098,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q07,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,8,60,68,68.0,1.343,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q08,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,9,79,88,88.0,1.487,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q09,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,10,106,116,116.0,2.087,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q10,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,4,34,38,38.0,0.67,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q11,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,18,41,59,59.0,0.912,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q12,multi_step,False,0.0,0.5,0.0,1.0,1.0,0.5,10,60,70,70.0,1.093,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q13,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,14,37,51,51.0,0.77,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q14,multi_step,False,0.0,0.0,0.0,1.0,1.0,0.4,9,38,47,47.0,0.753,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q15,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,5,37,42,42.0,0.72,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q16,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,6,43,49,49.0,1.029,
variant,S0_pure_llm,qwen2.5:3b,S0_pure_llm:full,q17,answerable,False,0.0,0.0,0.0,1.0,1.0,0.4,6,34,40,40.0,0.725,
